Strain,TG Control,Chol Control,HDL Control,UC Control,FFA Control,Glucose Control,Fibrosis Control,TG ISO,Chol ISO,HDL ISO,UC ISO,FFA ISO,Glucose ISO,Fibrosis ISO,Death ISO,TH Ctrl,LV Ctrl,RV Ctrl,LA Ctrl,RA Ctrl,Lung Ctrl,Liver Ctrl,Adrenal Ctrl,TH ISO,LV ISO,RV ISO,LA ISO,RA ISO,Lung ISO,Liver ISO,Adrenal ISO,wTH Ctrl,wLV Ctrl,wRV Ctrl,wLA Ctrl,wRA Ctrl,wLung Ctrl,wLiver Ctrl,wAdrenal Ctrl,wTH ISO,wLV ISO,wRV ISO,wLA ISO,wRA ISO,wLung ISO,wLiver ISO,wAdrenal ISO,Heart Rate Day 0,IVSd Day 0,LVIDd Day 0,PWd Day 0,IVSs Day 0,LVIDs Day 0,PWs Day 0,ET Day 0,E day 0,A day 0,E/A day 0,A/E day 0,FS day 0,IVS/PWd day 0,IVS/PWs day 0,RWTd day 0,PWTH day 0,Vold day 0,Vols day 0,EF day 0,LVM day 0,LVMc day 0,Vcf day 0,MSNER day 0,Heart Rate Day 7,IVSd Day 7,LVIDd Day 7,PWd Day 7,IVSs Day 7,LVIDs Day 7,PWs Day 7,ET Day 7,E day 7,A day 7,E/A day 7,A/E day 7,FS day 7,IVS/PWd day 7,IVS/PWs day 7,RWTd day 7,PWTH day 7,Vold day 7,Vols day 7,EF day 7,LVM day 7,LVMc day 7,Vcf day 7,MSNER day 7,Heart Rate Day 14,IVSd Day 14,LVIDd Day 14,PWd Day 14,IVSs Day 14,LVIDs Day 14,PWs Day 14,ET Day 14,E day 14,A day 14,E/A day 14,A/E day 14,FS day 14,IVS/PWd day 14,IVS/PWs day 14,RWTd day 14,PWTH day 14,Vold day 14,Vols day 14,EF day 14,LVM day 14,LVMc day 14,Vcf day 14,MSNER day 14,Heart Rate Day 21,IVSd Day 21,LVIDd Day 21,PWd Day 21,IVSs Day 21,LVIDs Day 21,PWs Day 21,ET Day 21,E day 21,A day 21,E/A day 21,A/E day 21,FS day 21,IVS/PWd day 21,IVS/PWs day 21,RWTd day 21,PWTH day 21,Vold day 21,Vols day 21,EF day 21,LVM day 21,LVMc day 21,Vcf day 21,MSNER day 21
129X1/SvJ,5,150,124,34,32,147,0.033708705,27.2,134,111,27.8,19.4,143.2,0.067311898,0.2,0.090333333,0.066,0.011233333,0.002066667,0.0014,0.115666667,0.8,0.0098,0.12525,0.08475,0.01425,0.002725,0.00245,0.1455,0.93875,0.0078,0.004337542,0.003159423,0.000534885,9.71E-05,6.57E-05,0.005539981,0.038447189,0.000473348,0.005672601,0.003831263,0.000641542,0.000123448,0.000110886,0.006605112,0.042536885,0.000353544,458,0.662,3.752,0.637,1.008,2.502,0.879,55.9075,924.5488889,448.9288889,2.250555556,0.477222222,33.43775,1.06,1.15025,0.34075,39.377,60.34475,23.0745,62.35775,80.424,64.3385,0.69,1.2375,519.7142857,0.854285714,3.608571429,0.781428571,1.158571429,2.337142857,1.115714286,45,948.9242857,436.0442857,2.207142857,0.478571429,35.43,1.127142857,1.055,0.441428571,44.60714286,55.19142857,19.76,64.81928571,102.3278571,81.86214286,1.045,1.75,551.2,0.754,3.986,0.722,1.17,2.38,1.112,46.3,1372.96,702.258,2.003,0.51,40.972,1.044,1.046,0.368,54.122,70.366,21.644,70.456,105.408,84.328,0.888,1.528,523.75,0.815,4.285,0.6825,1.1175,2.79,0.925,48.8125,1418.225,721.6975,2.1275,0.525,35.91125,1.192083333,1.239583333,0.32625,33.48166667,83.74833333,32.1275,64.43208333,120.4516667,96.365,0.7475,1.3375
A/J,33,131,119,26,28,134,0.007526252,39,69,56,11,35,147,0.091294368,0.666666667,0.088666667,0.062333333,0.011166667,0.0019,0.001433333,0.12,0.910133333,0.010333333,0.133,0.076,0.019,0.00345,0.0021,0.1565,1.012,0.00845,0.004081262,0.002861146,0.000520536,8.84E-05,6.69E-05,0.005525212,0.041830178,0.0004813,0.006713615,0.003845148,0.000949742,0.000178135,0.000107824,0.00788617,0.05147541,0.000431348,499,0.634,3.672,0.696,0.902,2.402,0.968,46.75,977.92,505.468,1.97,0.52,34.654,0.928,0.958,0.382,39.124,57.218,20.428,64.558,79.164,63.332,0.72,1.35,566.6666667,0.673333333,3.92,0.61,0.843333333,2.796666667,0.9,39.66666667,1094.766667,386.7733333,2.803333333,0.366666667,28.47333333,1.223333333,0.936666667,0.31,55.50666667,66.8,29.53,55.33333333,85.06,68.05,0.716666667,1.396666667,573.5,0.6,4.255,0.7,1.01,2.98,0.97,38.5,957.105,412.65,2.505,0.465,30.07,0.875,1.065,0.33,36.875,80.955,35.38,56.885,98.755,79,0.78,1.47,582,0.66,4.21,0.52,0.85,3.31,0.68,44.75,1157.91,321.64,3.6,0.28,21.43,1.26,1.24,0.25,31.58,79.06,44.41,43.83,85.72,68.57,0.48,0.98
AKR/J,,,,,,,0.018957226,,,,,,,0.077657144,0,0.115,0.084,0.01205,0.00185,0.0019,0.13,1.355,,0.1475,0.1025,0.0185,0.00375,0.0038,0.16,1.555,0.0105,0.004573969,0.003350581,0.000473168,0.0000757,0.0000768,0.005188627,0.053732479,,0.006028318,0.004208481,0.0007292,0.000152342,0.000155892,0.006579414,0.063779495,0.000436239,542.125,0.785,3.68875,0.785,1.11125,2.30375,1.0875,,1236.34625,695.10875,1.9175,0.555,37.55375,1.0225,1.04625,0.425,38.76,58.20125,18.55375,68.2175,100.3175,80.25375,,,559.3333333,0.801666667,3.83,0.675,1.271666667,2.198333333,1.03,,1070.936,541.694,2.096,0.516,42.57833333,1.26,1.298333333,0.353333333,53.60166667,63.62333333,16.425,74.095,98.515,78.81166667,,,558.25,0.72,4.1725,0.7025,1.0225,2.8725,0.9975,47.5,941.1775,581.6325,1.775,0.615,31.12,1.0425,1.0675,0.34,40.055,77.595,32.675,57.8575,107.9075,86.3275,0.31,0.67,582.5,0.78,4.21,0.78,1.025,2.815,1.11,47.5,1064.51,653.645,1.655,0.61,33.345,1.025,0.965,0.375,41.505,79.56,30.66,62.235,124.555,99.65,0.75,1.39
AXB-10/PgnJ,19,58,44,7,26,157,0.015700933,10,70,61,12,26,126,0.021481757,0,0.1,0.072,0.0104,0.002,0.0018,0.138,0.896,0.0086,0.126333333,0.089,0.012033333,0.0026,0.002366667,0.163333333,1.013333333,0.008233333,0.00484631,0.003497059,0.000501634,0.0000965,0.000088204,0.006642627,0.043473837,0.000417507,0.005832616,0.004112915,0.000552532,0.000120561,0.000108611,0.00753032,0.046681049,0.000378761,524.6,0.728,3.794,0.702,0.986,2.53,0.98,50,1467.546,847.11,1.66,0.618,33.36666667,1.047,1.017,0.372666667,39.40566667,61.804,23.279,62.501,92.68633334,74.14866667,0.67,1.254,603,0.96,3.88,0.92,1.35,2.23,1.37,44.25,1252.62,1129.12,1.11,0.9,42.605,1.045,0.99,0.47,49.24,65.22,16.74,74.335,138.79,111.035,0.96,1.68,633,0.67,3.96,0.96,1.27,2.23,1.33,39,2525.42,1771.08,1.43,0.7,43.82,0.7,0.96,0.485,38.645,68.59,16.79,75.59,118.06,94.45,1.12,1.94,592.6666667,0.76,4.226666667,0.706666667,1.043333333,2.976666667,1.093333333,43.75,2144.38,886.2933333,2.833333333,0.416666667,29.62666667,1.101666667,0.988333333,0.333333333,54.58833333,79.88,35.08,56.395,114.53,91.62333333,0.69,1.31
AXB-12/PgnJ,,,,,,,,,,,,,,,,0.101,0.071,0.016,0.0042,0.0036,0.17,0.956,0.0086,,,,,,,,,0.004391304,0.003086957,0.000695652,0.000182609,0.000156522,0.007391304,0.041565217,0.000373913,,,,,,,,,468,0.67,3.9,0.63,1,2.58,0.96,62.5,1433.27,299.12,4.79,0.21,33.695,1.075,1.05,0.32,54.095,65.8,24.26,63.17,85.26,68.205,0.54,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXB-18/PgnJ,25,108,72,19,22,143,0.013943576,10,59,49,13,15,100,0.012661911,0.25,0.10375,0.0705,0.0114,0.003025,0.002375,0.1275,0.875,0.00835,0.123333333,0.082666667,0.014,0.003266667,0.003566667,0.140666667,1.053333333,0.0071,0.005114865,0.003482004,0.000567428,0.000142004,0.00011272,0.006277081,0.043130836,0.000415541,0.006125196,0.004112824,0.000692805,0.000162596,0.000178604,0.006984276,0.052321857,0.000352749,480.2857143,0.675714286,3.981428571,0.698571429,0.97,2.664285714,0.942857143,49.10714286,2163.034286,915.5942857,2.527142857,0.435714286,32.98285714,0.975,1.033571429,0.348571429,35.67857143,69.51214286,26.21571429,61.91214286,95.355,76.28428571,0.671428571,1.264285714,518.3333333,0.7,4.093333333,0.756666667,0.95,2.8,0.98,43.75,1887.39,882.18,2.163333333,0.496666667,31.60333333,0.921666667,0.978333333,0.37,30.49,74.15666667,30.18666667,59.38,107.3483333,85.88166667,0.726666667,1.366666667,550,0.946666667,4,0.786666667,1.323333333,2.513333333,1.03,44.58333333,1951.626667,1266.173333,1.65,0.626666667,37.21333333,1.238333333,1.3,0.395,35.26,70.35833333,23,67.56166667,130.285,104.23,0.836666667,1.513333333,523,0.826666667,4.146666667,0.75,1.236666667,2.726666667,1.05,45.75,1742.746667,1151.206667,1.516666667,0.67,34.73666667,1.1,1.175,0.361666667,39.79,76.66833333,29.18333333,63.50833333,120.7766667,96.61833333,0.77,1.406666667
AXB-19/PgnJ,,,,,,,0.030379523,,,,,,,0.111662075,0.4,0.102,0.072,0.011875,0.002025,0.0019,0.12625,0.825,0.007575,0.1535,0.1065,0.0155,0.0044,0.0022,0.1833,1.13,0.00645,0.004752424,0.003379711,0.00055405,9.74E-05,0.00008755,0.005856703,0.038198771,0.000342444,0.006809587,0.004738637,0.000679758,0.000196274,9.15E-05,0.008161081,0.049174643,0.000281445,498.875,0.65125,3.90625,0.67625,0.96875,2.525,0.9525,48.09375,2125.33125,988.675,2.34875,0.52375,35.378125,0.974791667,1.015833333,0.347708333,41.52020833,66.67166667,23.37479167,65.02208333,88.51270833,70.80895833,0.7375,1.3575,479.6666667,0.8,4.21,0.756666667,1.15,2.853333333,1.07,45,1882.626667,1077.81,2.666666667,0.483333333,32.61833333,1.055,1.093333333,0.36,42.35333333,79.48833333,32.30333333,60.64333333,123.68,98.94166667,0.72,1.343333333,548,0.93,4.26,0.776666667,1.28,2.796666667,1.12,43.33333333,2833.876667,892.9833333,2.853333333,0.383333333,34.51222222,1.223333333,1.14,0.364444444,45.86888889,81.37222222,30.29222222,63.25666667,142.8566667,114.2877778,0.796666667,1.46,526.3333333,0.883333333,4.356666667,0.813333333,1.213333333,2.9,1.196666667,44.41666667,2837.5,1126.34,2.73,0.415,33.73333333,1.113333333,1.07,0.373333333,47.4,85.82333333,33.52333333,61.81666667,145.8766667,116.6966667,0.756666667,1.39
AXB-20/PgnJ,,,,,,,0.00877867,,,,,,,0.090133141,0.5,0.099,0.068,0.013,0.003,0.001,0.12,0.79,0.0068,0.1465,0.104,0.0132,0.0056,0.00245,0.151,0.99,0.0077,0.005351351,0.003675676,0.000702703,0.000162162,0.0000541,0.006486486,0.042702703,0.000367568,0.007037268,0.004995514,0.000634438,0.000269082,0.00011731,0.007245687,0.047826087,0.000371981,444.3333333,0.843333333,3.88,0.803333333,1.363333333,2.18,1.086666667,59.66666667,668.5533333,484.0266667,1.28,0.92,44.17444444,1.063333333,1.247777778,0.412222222,36.31444444,65.46333333,16.99555556,75.00555556,116.0333333,92.82111111,0.733333333,1.266666667,555,0.95,3.805,0.85,1.24,2.56,1.135,41.25,1559.525,772.925,2.04,0.55,33.515,1.146666667,1.136666667,0.475,34.165,65.42,26.54166667,62.055,127.965,102.3733334,0.815,1.5,511,0.755,4.235,0.775,1.185,3.22,0.86,45.125,1009.195,564.535,1.84,0.55,34.93,0.905,0.99,0.43,42.295,80.46,30.895,62.93,142.455,113.965,0.77,1.385,490.5,0.76,4.245,0.895,0.99,3.375,1.08,42.75,1359.71,978.45,1.455,0.69,20.4525,0.8475,0.9175,0.4225,20.77,80.93,46.88,42.0975,135.4175,108.3325,0.475,0.985
AXB-4/PgnJ,,,,,,,0.005679771,,,,,,,0.017342389,0,0.085,0.064,0.0055,0.0016,0.0008,0.1,0.61,0.0095,0.107,0.073,0.0105,0.0024,0.0019,0.12,0.73,0.0076,0.005414013,0.004076433,0.000350318,0.000101911,0.000051,0.006369427,0.038853503,0.000605096,0.006388572,0.004359628,0.000627184,0.00014367,0.000113389,0.007164754,0.043580238,0.000453768,521,0.713333333,3.55,0.63,0.976666667,2.233333333,0.98,51.66666667,961.7966667,428.1966667,2.431666667,0.461666667,37.49,1.15,1.005,0.36,54.34833333,52.89666667,17.64333333,67.77333333,76.08166667,60.86833333,0.723333333,1.31,635.5,0.91,3.68,0.97,1.335,2.05,1.36,41.5,1535.175,743.885,2.005,0.5075,44.3575,0.9425,0.98,0.53,40.6675,57.34,13.925,76.025,127.9925,102.39,1.065,1.83,597,0.67,4.195,0.63,0.93,2.915,0.96,45.375,1297.06,406.605,3.465,0.325,30.705,1.065,0.975,0.3,52.46,78.56,32.81,58.535,96.945,77.56,0.685,1.305,602,0.78,3.8,0.725,1.12,2.27,1.215,44.625,1371.285,529.875,2.665,0.38,40.285,1.08,0.925,0.38,67.45,61.98,17.975,71,99.08,79.27,0.895,1.585
AXB-6/PgnJ,,,,,,,0.008023511,,,,,,,0.031810873,0,0.088,0.064,0.0087,0.0028,0.002,0.15,0.92,0.011,0.117,0.085,0.012,0.0037,0.0038,0.18,1.2,0.013,0.003928571,0.002857143,0.000388393,0.000125,0.0000893,0.006696429,0.041071429,0.000491071,0.005,0.003632479,0.000512821,0.00015812,0.000162393,0.007692308,0.051282051,0.000555556,462,0.545,3.995,0.6,0.765,2.79,0.89,53.75,1002.585,695.15,1.455,0.76,30.015,0.92,0.895,0.305,47.515,69.855,29.27,57.7,76.705,61.365,0.555,1.075,527,0.63,4.28,0.79,1.16,2.61,1.23,45.5,1579.69,658.2,2.4,0.42,38.83,0.79,0.945,0.37,55.675,82.34,24.885,69.37,112.03,89.625,0.85,1.52,561,0.72,4.33,0.67,1.13,2.6,0.98,53.5,1720.36,648.66,2.65,0.38,40.14,1.085,1.17,0.305,47.5,84.77,24.78,71.01,111.6,89.28,0.75,1.33,575,0.88,4.05,0.88,1.23,2.65,1.23,46,1277.85,697.01,1.83,0.55,34.495,1,1,0.43,40.86,71.985,25.97,64.03,134.965,107.97,0.75,1.39
